"OID","Country or Area","Year","Description","Magnitude","Value"
"193a6205GG...","AUSTRALIA","2008","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","250454000000"
"193a6305GG...","AUSTRALIA","2008","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","0"
"193a6303GG...","AUSTRALIA","2008","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","60004000000"
"193a6203GG...","AUSTRALIA","2008","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","136113000000"
"193a6208GG...","AUSTRALIA","2008","OTHER ACCOUNTS RECEIVABLE","AUSTRALIAN DOLLA","63428000000"
"193a6308GG...","AUSTRALIA","2008","OTHER ACCOUNTS PAYABLE","AUSTRALIAN DOLLA","90256000000"
"193a61..GG...","AUSTRALIA","2008","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","734130000000"
"193a6...GG...","AUSTRALIA","2008","NET WORTH","AUSTRALIAN DOLLA","862186000000"
"193a6M2.GG...","AUSTRALIA","2008","NET FINANCIAL WORTH [62-63]","AUSTRALIAN DOLLA","128057000000"
"193a6304GG...","AUSTRALIA","2008","LOANS","AUSTRALIAN DOLLA","45541000000"
"193a6204GG...","AUSTRALIA","2008","LOANS","AUSTRALIAN DOLLA","32880000000"
"193a63..GG...","AUSTRALIA","2008","LIABILITIES","AUSTRALIAN DOLLA","378136000000"
"193a6206GG...","AUSTRALIA","2008","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","0"
"193a6306GG...","AUSTRALIA","2008","INSURANCE TECHNICAL RESERVES","AUSTRALIAN DOLLA","177144000000"
"193a6M3.GG...","AUSTRALIA","2008","GROSS DEBT AT MARKET VALUE","AUSTRALIAN DOLLA","378136000000"
"193a6307GG...","AUSTRALIA","2008","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a6207GG...","AUSTRALIA","2008","FINANCIAL DERIVATIVES","AUSTRALIAN DOLLA","0"
"193a62..GG...","AUSTRALIA","2008","FINANCIAL ASSETS","AUSTRALIAN DOLLA","506193000000"
"193a6202GG...","AUSTRALIA","2008","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","23319000000"
"193a6302GG...","AUSTRALIA","2008","CURRENCY AND DEPOSITS","AUSTRALIAN DOLLA","5191000000"
"193a6305GG...","AUSTRALIA","2007","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","0"
"193a6205GG...","AUSTRALIA","2007","SHARES AND OTHER EQUITY","AUSTRALIAN DOLLA","221391000000"
"193a6203GG...","AUSTRALIA","2007","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","120143000000"
"193a6303GG...","AUSTRALIA","2007","SECURITIES OTHER THAN SHARES","AUSTRALIAN DOLLA","57329000000"
"193a6208GG...","AUSTRALIA","2007","OTHER ACCOUNTS RECEIVABLE","AUSTRALIAN DOLLA","63933000000"
"193a6308GG...","AUSTRALIA","2007","OTHER ACCOUNTS PAYABLE","AUSTRALIAN DOLLA","94637000000"
"193a61..GG...","AUSTRALIA","2007","NONFINANCIAL ASSETS","AUSTRALIAN DOLLA","622146000000"
